"PlotName","Trial","Name","Block","Plot","Row","Column","ID","NGRDI","BGI","myIndex","ID","dsm"
"19","T1","T1_5",1,19,2,10,19,0.251494949868476,0.491419739353872,0.110722306046351,19,276.405699770134
"20","T1","T1_53",1,20,2,9,20,0.247794615967183,0.50948844323742,0.0965919048413644,20,276.31111342957
"21","T1","T1_43",1,21,2,8,21,0.219439249604771,0.500929277890918,0.144704987642789,21,276.231384857242
"22","T1","T1_21",1,22,2,7,22,0.200262192274403,0.544728639858376,0.125997551635316,22,276.23964098798
"23","T1","T1_34",1,23,2,6,23,0.263391873197307,0.480001445112157,0.107106727728746,23,276.152819950843
"24","T1","T1_62",1,24,2,5,24,0.235377444303217,0.516058823487206,0.106031840590548,24,276.238333428745
"25","T1","T1_111",1,25,2,4,25,0.25302140892215,0.478292131391656,0.122049037410718,25,276.0888721484
"26","T1","T1_28",1,26,2,3,26,0.213470340928531,0.533635387257968,0.122099889688907,26,276.086791010797
"27","T1","T1_10",1,27,2,2,27,0.238148778483472,0.544992349924019,0.0759840698059081,27,276.213291757136
"28","T1","T1_15",1,28,2,1,28,0.216133334625653,0.544653643592114,0.107059649228738,28,276.080518276667
"42","T1","T1_41",1,42,3,14,29,0.259911233930609,0.485138990926515,0.107033032098587,29,276.356817471032
"41","T1","T1_16",1,41,3,13,30,0.251503952620105,0.545803406587633,0.0561106344244872,30,276.504532982926
"40","T1","T1_59",1,40,3,12,31,0.271651859681949,0.489638898599993,0.0868166683186208,31,276.373646524149
"39","T1","T1_20",1,39,3,11,32,0.245746706298624,0.53762842835216,0.0725440803161641,32,276.343761933756
"38","T1","T1_33",1,38,3,10,33,0.248418149225688,0.496942939818048,0.109019230842214,33,276.334902284481
"37","T1","T1_110",1,37,3,9,34,0.216509424180844,0.515292839940695,0.132408548620302,34,276.32576042914
"36","T1","T1_18",1,36,3,8,35,0.242896094786928,0.497749353294549,0.116591935983281,35,276.207923360559
"35","T1","T1_99",1,35,3,7,36,0.244160645954739,0.523939410085083,0.0875497116698396,36,276.248512330181
"34","T1","T1_68",1,34,3,6,37,0.259176859385503,0.517422742533225,0.0746414523709096,37,276.293788995036
"33","T1","T1_4",1,33,3,5,38,0.266309987406071,0.489656661493831,0.0945574414011015,38,276.234867344476
"32","T1","T1_47",1,32,3,4,39,0.244775119655783,0.488878441081352,0.124013687158296,39,276.261623472353
"31","T1","T1_81",1,31,3,3,40,0.220909340431125,0.528931962270551,0.115510053369855,40,276.166360433097
"30","T1","T1_64",1,30,3,2,41,0.263219258554438,0.508204210525038,0.0789669191276719,41,276.254668834402
"29","T1","T1_71",1,29,3,1,42,0.253494587393661,0.490675288820595,0.109108083864582,42,276.400320979841
"43","T1","T1_57",1,43,4,14,43,0.280051493707317,0.515570490008151,0.0505874249636064,43,276.516574671243
"44","T1","T1_98",1,44,4,13,44,0.261265486644608,0.505547617644939,0.084062720976689,44,276.43058023293
"45","T1","T1_40",1,45,4,12,45,0.263426022574054,0.481376161998159,0.105267062258026,45,276.475482699084
"46","T1","T1_22",1,46,4,11,46,0.245352154842383,0.50066763058279,0.111443950208444,46,276.461370012229
"47","T1","T1_67",1,47,4,10,47,0.272782025311503,0.443885581263431,0.131367905991873,47,276.435814685905
"48","T1","T1_61",1,48,4,9,48,0.249836852676394,0.49932072304256,0.105573219993446,48,276.378421267565
"49","T1","T1_23",1,49,4,8,49,0.224018915879437,0.540851559670899,0.0995921084642329,49,276.316239311145
"50","T1","T1_31",1,50,4,7,50,0.250519121246722,0.521207983682832,0.0825891168993234,50,276.433139860207
"51","T1","T1_35",1,51,4,6,51,0.252627858414031,0.532768546982201,0.0701068893663624,51,276.382219564998
"52","T1","T1_55",1,52,4,5,52,0.250844229351847,0.466370480341161,0.137513240041773,52,276.327391417075
"53","T1","T1_88",1,53,4,4,53,0.251847216417245,0.46529912093737,0.138383007245555,53,276.180611138894
"54","T1","T1_6",1,54,4,3,54,0.22810397571285,0.547759406526582,0.0861147776952573,54,276.204775933108
"55","T1","T1_9",1,55,4,2,55,0.236363815970302,0.549543009673172,0.0719944212852484,55,276.297232070617
"56","T1","T1_13",1,56,4,1,56,0.19668323296616,0.578772014126355,0.097618988784646,56,276.388616883199
"70","T1","T1_27",1,70,5,14,57,0.251593068776034,0.510533577569004,0.0910443209117423,57,276.383904893573
